iter	Passed	Remaining
404	11671	17147
405	11680	17088
406	11689	17031
407	11697	16972
408	11705	16913
409	11715	16859
410	11723	16800
411	11732	16744
412	11739	16685
413	11749	16630
414	11758	16575
415	11765	16517
416	11776	16464
417	11784	16408
418	11794	16354
419	11805	16303
420	11815	16250
421	11825	16197
422	11839	16149
423	11851	16100
424	11873	16064
425	11903	16038
426	11930	16009
427	11971	15999
428	11992	15962
429	12008	15917
430	12026	15877
431	12066	15865
432	12096	15839
433	12131	15821
434	12177	15817
435	12193	15773
436	12208	15729
437	12228	15690
438	12252	15658
439	12265	15611
440	12287	15574
441	12325	15560
442	12339	15514
443	12361	15480
444	12384	15445
445	12403	15407
446	12446	15397
447	12492	15392
448	12506	15347
449	12524	15307
450	12542	15267
451	12570	15240
452	12585	15197
453	12615	15172
454	12629	15127
455	12658	15101
456	12671	15056
457	12692	15020
458	12705	14974
459	12795	15020
460	12829	15000
461	12854	14969
462	12866	14922
463	12887	14886
464	12899	14841
465	12923	14808
466	12950	14780
467	12979	14753
468	12996	14714
469	13017	14679
470	13053	14661
471	13076	14628
472	13108	14605
473	13120	14560
474	13149	14533
475	13161	14488
476	13184	14455
477	13215	14432
478	13235	14396
479	13281	14388
480	13305	14356
481	13339	14335
482	13362	14302
483	13397	14283
484	13413	14243
485	13445	14220
486	13458	14176
487	13477	14140
488	13486	14093
489	13494	14045
490	13502	13997
491	13509	13949
492	13517	13901
493	13524	13852
494	13533	13806
495	13542	13761
496	13551	13714
497	13559	13668
498	13567	13622
499	13578	13578
500	13587	13533
501	13599	13491
502	13609	13446
503	13618	13401
504	13628	13358
505	13638	13315
506	13648	13271
507	13657	13227
508	13666	13183
509	13675	13139
510	13683	13093
511	13691	13049
512	13699	13005
513	13707	12960
514	13717	12918
515	13725	12874
516	13734	12830
517	13742	12787
518	13750	12743
519	13757	12699
520	13765	12655
521	13773	12612
522	13781	12569
523	13790	12527
524	13798	12484
525	13807	12442
526	13815	12400
527	13823	12357
528	13831	12314
529	13842	12275
530	13861	12243
531	13887	12216
532	13898	12177
533	13920	12148
534	13945	12120
535	13961	12086
536	13987	12059
537	14023	12042
538	14081	12043
539	14106	12016
540	14128	11987
541	14173	11976
542	14186	11939
543	14207	11909
544	14227	11877
545	14262	11859
546	14293	11837
547	14317	11809
548	14342	11782
549	14370	11758
550	14384	11721
551	14399	11686
552	14429	11663
553	14458	11639
554	14477	11607
555	14495	11575
556	14508	11538
557	14539	11517
558	14565	11491
559	14598	11470
560	14616	11437
561	14629	11401
562	14643	11366
563	14711	11372
564	14736	11345
565	14750	11310
566	14772	11281
567	14801	11257
568	14835	11237
569	14858	11208
570	14893	11189
571	14921	11164
572	14961	11149
573	14983	11119
574	14995	11083
575	15015	11053
576	15035	11022
577	15064	10998
578	15090	10972
579	15130	10956
580	15143	10920
581	15198	10916
