iter	Accuracy	Logloss
77	0.8616521826	0.322524004
78	0.861152732	0.3221838574
79	0.8616521826	0.3215855564
80	0.8618519628	0.3214059779
81	0.8618519628	0.3208766749
82	0.8620517431	0.3202806095
83	0.8623514134	0.3199199518
84	0.8621516332	0.3194140904
85	0.8626510838	0.3184789003
86	0.8632504245	0.3176562852
87	0.8651483368	0.3153031854
88	0.8670462491	0.3133697532
89	0.8672460294	0.3125549902
90	0.86774548	0.3123446151
91	0.8681450405	0.3115223603
92	0.8683448207	0.3110757304
93	0.8683448207	0.311059863
94	0.8693437219	0.309691256
95	0.8698431725	0.3081896332
96	0.869443612	0.307885286
97	0.8701428429	0.3072004109
98	0.8699430626	0.3053588429
99	0.8705424034	0.3044870857
100	0.8716411947	0.3036846323
101	0.8715413046	0.3034147946
102	0.8720407552	0.3019647532
103	0.8721406453	0.3008533035
104	0.8722405354	0.2997694723
105	0.8728398761	0.2982550755
106	0.8731395465	0.2976275082
107	0.873539107	0.2968837742
108	0.8739386675	0.2966518202
109	0.8750374588	0.2960959551
110	0.8748376786	0.2953134364
111	0.8750374588	0.2948286142
112	0.8761362501	0.2933933932
113	0.8766357007	0.2921195518
114	0.8763360304	0.2919773067
115	0.876835481	0.2912605898
116	0.8767355909	0.2906930418
117	0.8774348217	0.289708512
118	0.8781340525	0.2887688943
119	0.8783338328	0.2886125252
120	0.8789331735	0.287747644
121	0.8796324044	0.2874143833
122	0.8797322945	0.2871110098
123	0.8800319648	0.2867800271
124	0.8809309759	0.2857200711
125	0.881030866	0.2851791422
126	0.8809309759	0.2846720423
127	0.8816302068	0.283098505
128	0.8827289981	0.2824252133
129	0.8830286685	0.2817411989
130	0.8837278993	0.2800779922
131	0.8850264709	0.2785914723
132	0.8849265808	0.2782762567
133	0.8854260314	0.2778362767
134	0.8855259215	0.2774977724
135	0.8858255918	0.2771475331
136	0.8862251523	0.276522083
137	0.8865248227	0.2762196577
138	0.8863250425	0.2758061478
139	0.8866247128	0.2747752445
140	0.8877235041	0.2739026579
141	0.8883228449	0.2734188472
142	0.8881230646	0.2732775144
143	0.8882229547	0.2729735095
144	0.8881230646	0.272927503
145	0.8890220757	0.2724541444
146	0.8891219658	0.2722458115
147	0.8898211967	0.2706936445
148	0.8898211967	0.2698441167
149	0.8895215263	0.2685652221
150	0.8903206473	0.2679898497
151	0.890120867	0.2670887346
152	0.8914194386	0.2665607173
153	0.8916192189	0.2662391525
154	0.891719109	0.2655555337
155	0.8926181201	0.2650427592
156	0.8928179003	0.264895521
157	0.8927180102	0.2647706023
158	0.8928179003	0.2642140036
159	0.8928179003	0.2642062965
160	0.8930176806	0.2640714572
161	0.8931175707	0.2634946879
162	0.8932174608	0.2627105832
163	0.8947158126	0.2615629971
164	0.8946159225	0.2610082648
165	0.8946159225	0.2606460786
166	0.895015483	0.2597254429
167	0.8955149336	0.2585099011
168	0.8966137249	0.2575025784
169	0.8966137249	0.2574762529
170	0.8968135051	0.2570143021
171	0.897512736	0.2565718972
172	0.8978124064	0.256341193
173	0.8977125162	0.2561196579
174	0.8987114174	0.254696799
175	0.8988113076	0.2545670808
176	0.8993107582	0.2537836113
177	0.8997103186	0.2533891565
178	0.8997103186	0.2528725468
179	0.9003096594	0.2525450065
180	0.9006093297	0.2520757932
181	0.9007092199	0.2514980081
182	0.9010088902	0.2513987945
183	0.9012086705	0.250984186
184	0.9014084507	0.250494952
185	0.9013085606	0.2501279939
186	0.902507242	0.2493155258
187	0.902507242	0.2486035686
188	0.9040055938	0.2475898864
189	0.9045050445	0.2469665424
190	0.9045050445	0.2465727128
191	0.9059035061	0.2458884304
192	0.9055039457	0.2453673885
193	0.9059035061	0.2445070297
194	0.9059035061	0.2440995822
195	0.905803616	0.2438134171
196	0.9063030666	0.2426940683
197	0.9062031765	0.2424732071
198	0.9063030666	0.2420855061
199	0.9071021876	0.2416191415
200	0.9070022975	0.2411775817
201	0.9076016382	0.240605138
202	0.9072020777	0.2401641194
203	0.9073019678	0.2398043993
204	0.9076016382	0.23929077
205	0.9078014184	0.2392410821
206	0.9082009789	0.2388121891
207	0.908300869	0.2383393317
208	0.9086005394	0.2380521034
209	0.90909999	0.2376872178
210	0.9091998801	0.2374803189
211	0.9092997703	0.2374229128
212	0.9102986715	0.2364585473
213	0.9108980122	0.2359281584
214	0.9111976825	0.2355523415
215	0.911597243	0.2348575718
216	0.9121965838	0.2345112638
217	0.9121965838	0.2344680017
218	0.913195485	0.2339787631
219	0.9133952652	0.2333445512
220	0.9132953751	0.2329923145
221	0.9136949356	0.2323457113
222	0.9132953751	0.2317966054
223	0.9133952652	0.2314981076
224	0.9127959245	0.2309190418
225	0.913195485	0.2300546341
226	0.9132953751	0.2298028889
227	0.9136949356	0.2293134545
228	0.913195485	0.2288464952
229	0.9132953751	0.227985641
230	0.9135950455	0.2277175469
231	0.9135950455	0.2273873387
232	0.9142942763	0.2269636805
233	0.9150933973	0.2266493707
234	0.9151932874	0.2262416471
235	0.9149935071	0.2259808705
236	0.9150933973	0.2256832048
237	0.9152931775	0.2252299019
238	0.9152931775	0.2246195779
239	0.9154929577	0.2242044563
240	0.915692738	0.222892143
241	0.915692738	0.2223658389
242	0.9160922985	0.2220234394
243	0.9159924084	0.2213895986
244	0.9159924084	0.2212524026
245	0.9169913096	0.2207154088
246	0.9169913096	0.2198709554
247	0.9174907602	0.2193688726
248	0.91739087	0.2190723739
249	0.9176905404	0.2185608682
250	0.9184896614	0.2182546016
251	0.9191888922	0.2180130515
252	0.9196883428	0.2174285621
253	0.9193886725	0.2168175155
254	0.9192887823	0.216633204
255	0.9188892219	0.2161918562
256	0.9198881231	0.2151747864
257	0.9197882329	0.2148085018
258	0.9202876835	0.2140111618
259	0.920687244	0.2135964366
260	0.920687244	0.2135498582
261	0.9208870243	0.2133988233
262	0.9203875737	0.2131521135
263	0.9201877934	0.2128127076
264	0.9213864749	0.2119498356
265	0.9224852662	0.2113450442
266	0.9228848267	0.2107378504
267	0.9228848267	0.2102444663
268	0.9230846069	0.2098804049
269	0.9231844971	0.2096251575
270	0.9237838378	0.2090140121
271	0.9238837279	0.2084345042
272	0.9243831785	0.2076684956
273	0.9246828489	0.2073759099
274	0.9248826291	0.2069777451
275	0.9250824093	0.2066987179
276	0.9261812007	0.2062245732
277	0.9263809809	0.206170854
278	0.926480871	0.2056363288
279	0.9269803216	0.2047714844
280	0.9274797723	0.2040144014
281	0.9277794426	0.2039244103
282	0.9282788932	0.2032063952
283	0.9291779043	0.2029928382
284	0.9288782339	0.2024424691
285	0.9289781241	0.2021143883
286	0.9293776845	0.2016006489
287	0.9293776845	0.201264004
288	0.9294775747	0.2007447458
289	0.9292777944	0.2004074363
290	0.9298771352	0.1996988609
